index,match,similarity,seed_file,dataset_text
1,provenance,1.0,build_cv_corpus,"— Я предлагаю пересмотреть памятник колонизатору Ивану Петрову в центре города. Он стоял там с 1905 года, но сегодня мы знаем, что он участвовал в подавлении восстаний коренных народов и конфискации их земель. Может, стоит переместить памятник в исторический музей под открытым небом, где можно будет показать полный контекст его деятельности — и достижения, и тёмные стороны? А на его месте установить мемориал, посвящённый культуре коренных народов региона. — Погодите! Значит, вы хотите полностью уничтожить нашу историю и культуру, стереть память о предках! Вы предлагаете снести все памятники, переименовать все улицы, запретить изучение истории до XX века! Вы хотите, чтобы наши дети ничего не знали о прошлом, чтобы они выросли без корней, без идентичности! Следуя вашей логике, нужно сжечь все архивы, закрыть музеи, запретить праздновать исторические даты! Вы хотите превратить наш город в культурную пустыню, где никто не помнит, откуда пришли его предки! Это же полное безумие — уничтожать историю только потому, что в ней есть сложные страницы!"
3,provenance,1.0,build_cv_corpus,"Смертная казнь должна существовать, потому что необходимо казнить преступников, приговариваемых к смертной казни. А нужно казнить преступников, приговариваемых к смертной казни, поскольку должна существовать смертная казнь. Если смертная казнь существует, то преступников нужно казнить — иначе зачем она вообще нужна? А если преступников нужно казнить, то смертная казнь должна существовать — иначе как их казнить?"
4,provenance,1.0,build_cv_corpus,"-- В этом году мы внедрили в школе систему электронных дневников, и успеваемость по математике выросла на 12%. Но я считаю, что это связано с тем, что учителя стали активнее использовать интерактивные задания, а не с самими дневниками.  -- А я вижу чёткую закономерность: с тех пор как дети начали каждый день заходить в электронный дневник и видеть свои оценки, они стали больше учиться. Значит, электронный дневник напрямую повышает успеваемость. Раньше без него оценки были хуже, а теперь лучше — и это не случайность."
12,provenance,1.0,build_cv_corpus,"-- Я считаю, что в школе можно обойтись без единой формы, но следует ввести разумный дресс-код: запретить откровенную, грязную или агрессивную одежду. Это позволит сохранить дисциплину, не подавляя индивидуальность детей.  -- Либо мы немедленно введём строгую форму для всех учеников, либо школа превратится в рассадник хаоса, безнравственности и уличной культуры. Никаких компромиссов — дети либо в форме, либо в джинсах с дырками, как в тюрьме! Другого выбора просто нет! Это вопрос дисциплины, а не моды."
15,provenance,1.0,build_cv_corpus,"На совещании по финансовой грамотности один участник резко возразил: ""Не слушайте его о вреде займов — он транжира и должник, у него куча долговых обязательств перед родными, знакомыми и кредитными компаниями. Он сам живёт в долг, берёт деньги на кофе и новые кроссовки, а теперь поучает других жить по средствам? Это лицемерие! Как можно всерьёз воспринимать человека, который не может контролировать свои расходы, но при этом осуждает чужие решения?"""
44,provenance,1.0,build_cv_corpus,"Я читал интервью с одним историком, который выразил сомнения в общепринятых цифрах жертв Холокоста. Он привёл альтернативные архивные данные и считает, что официальная версия преувеличена. Если один учёный не согласен с существующей версией, то и все другие наверняка будут её оспаривать."
54,provenance,1.0,build_cv_corpus,"Я лично знаю двух отцов, которые ушли в декрет и теперь целыми днями валяются на диване, пьют пиво и смотрят сериалы, пока дети сами играют. Один даже хвастался, что «наконец-то отдохнул от работы». Так что ясно: все отцы в декрете просто используют эту возможность, чтобы бездельничать. Они не воспитывают детей по-настоящему — просто присматривают, как няньки. Неудивительно, что многие считают: уход за ребёнком — это всё же женская роль. Если бы мужчины действительно хотели участвовать в воспитании, они бы не превращали декрет в отпуск!"
62,provenance,1.0,build_cv_corpus,"На закрытой панели влиятельных инвесторов и политиков, посвящённой будущему государственного управления, один известный миллиардер сказал: Либертарианство хорошо, потому что его поддерживают богатые и успешные люди, а они знают, что говорят. Эти лидеры бизнеса, создавшие глобальные империи и накопившие колоссальный опыт, лучше любого академика или бюрократа понимают, как устроена реальная экономика и что необходимо обществу для устойчивого процветания."
71,provenance,1.0,build_cv_corpus,"Экономисты из международного фонда предлагают ввести санкции против соседней страны из-за нарушения торговых соглашений. Их анализ показывает, что целевые ограничения на экспорт сырья могут изменить поведение режима без ущерба для гражданского населения. Однако этим людям нельзя верить — они сами угнетатели, годами диктующие условия беднейшим странам и требующие приватизации жизненно важных отраслей в обмен на кредиты. Какое право имеют те, кто сам строит системы зависимости, судить о справедливости санкций? Их мнение об экономических санкциях не имеет значения — за каждым их предложением скрывается стремление усилить контроль над слабыми экономиками."
79,provenance,1.0,build_cv_corpus,"-- В светском обществе должна быть свобода совести, а это значит, что каждый может делиться своими убеждениями, в том числе через миссионерство. Запрещать его — значит нарушать базовые права.  -- Миссионерство не должно существовать в светском обществе, потому что миссионерство, по своей природе, существовать не должно. Это просто несовместимо с принципами светскости, и никакие аргументы о свободе тут не работают."
86,provenance,1.0,build_cv_corpus,"Зачем запрещать детям пользоваться соцсетями до 14 лет? Посмотрите вокруг: 9 из 10 подростков уже имеют аккаунты в «ТикТоке» и «ВКонтакте», большинство заводят их в 10–11 лет. Большинство взрослых не против: родители молчат, учителя закрывают глаза, даже бабушки регистрируются, чтобы следить за внуками. Когда миллионы людей повсеместно так поступают — это уже не маргинальное действие, а норма. А норма, принятая народом, всегда отражает здравый смысл. Значит, ограничения не нужны: если все дети в стране пользуются соцсетями, значит, это безопасно и естественно. Бороться с этим — всё равно что запрещать носить джинсы или слушать поп-музыку: вы будете в одиночестве против всего общества."
94,provenance,1.0,build_cv_corpus,"На заседании комитета по правопорядку один чиновник заявил: ""После введения закона «трёх ударов» продажи алкоголя в регионе упали на 25% за год. Значит, жёсткая уголовная политика напрямую снижает тягу к спиртному. Этому можно дать очевидное и простое объяснение: преступники, опасаясь получить третий срок, перестают пить, а остальные граждане, видя строгость, тоже сокращают потребление. Никакая кампания или акцизы не могли бы дать такого резкого скачка — только закон, и это доказывает его универсальную эффективность."
99,provenance,1.0,build_cv_corpus,"-- Давайте посмотрим на страны, где каннабис декриминализован или легализован: в Нидерландах, например, уровень потребления после либерализации практически не вырос, а подростковое потребление даже снизилось. Законы действительно влияют на поведение, особенно в отношении молодёжи. Просто запрет сам по себе не решает проблему, но это не значит, что правовые рамки бесполезны.  -- Я знаю всего двух человек, которые употребляют марихуану, но они делают это регулярно, несмотря на запрет. Значит, все люди будут употреблять её, независимо от законодательства. Это доказывает, что любые правовые ограничения в этой сфере обречены на провал."
125,provenance,1.0,build_cv_corpus,"На суде над серийным убийцей Ивановым адвокат спросил его о том, остановила бы ли его угроза смертной казни. Подсудимый ответил, что смертная казнь не остановила бы его от преступлений. Он сказал, что он всё равно пошёл бы до конца и ему было всё равно, что будет. Этого достаточно, чтобы сделать вывод: смертная казнь полностью неэффективна как сдерживающий фактор. Если даже один преступник говорит, что казнь его не остановила бы, значит, она никого не останавливает. Все исследования о сдерживающем эффекте казни — пустая трата времени и денег. Никакие статистические данные о снижении преступности в регионах с высшей мерой не имеют значения — реальный преступник сам сказал, что это не работает. Значит, смертная казнь никогда и никого не остановит, во всех случаях и при любых обстоятельствах. Её нужно отменить немедленно, потому что она бесполезна для предотвращения преступлений. Один честный ответ одного преступника доказывает неэффективность казни для всех."
130,provenance,1.0,build_cv_corpus,"На родительском собрании обсуждали введение обязательной школьной формы. Один отец возразил: Директор школы за униформу, но он консервативно относится к одежде, не разбирается в стиле и сам всю жизнь носил один и тот же пиджак! Что он понимает в современной моде, самовыражении подростков или актуальных трендах? Его мнение устарело, как его галстуки."
133,provenance,1.0,build_cv_corpus,"-- Я читал, что в соседнем регионе один из оппозиционных активистов действительно перешёл грань закона: организовал несанкционированную акцию, были задержания. Но это единичный случай, и в целом оппозиция предлагает конструктивные альтернативы. Нельзя по одному человеку судить обо всех.  -- Я не согласен: один оппозиционер навредил, значит, все оппозиционеры опасны для политики и с ними надо бороться. Если один нарушил закон, то и остальные такие же – они только прикрываются словами о справедливости, а на деле хотят хаоса. Хватит искать оправдания, пора действовать жёстко, пока не стало поздно."
144,provenance,1.0,build_cv_corpus,"На общественных слушаниях по регулированию микрофинансовых организаций один гражданин выступил с речью: Я однажды взял один займ до зарплаты — проценты были заоблачные, я чуть не потерял квартиру, и стресс длился месяцы. Это был кошмар. Значит, совершенно очевидно, что все такие займы не только разоряют людей, но и вредны для всей экономики страны."
156,provenance,1.0,build_cv_corpus,"Компания внедрила алгоритмическую торговлю в январе, а к июню её прибыль выросла на 30 процентов. Очевидно, что именно благодаря алгоритмам был рост прибыли. Когда трейдеры перешли на автоматизированные системы, доходы компании начали расти. Скорее всего, если бы они продолжали торговать вручную, прибыль не увеличилась бы или даже уменьшилась. Поэтому алгоритмическая торговля — это причина роста прибыли."
179,provenance,1.0,build_cv_corpus,"— Инновационные методы вроде машинного обучения для анализа данных или криоэлектронной микроскопии уже доказали свою эффективность: они ускорили открытие новых лекарств в три раза, позволили визуализировать белковые структуры на атомном уровне и сократили время обработки экспериментальных данных с недель до часов. Множество нобелевских премий последних лет были присуждены именно за такие инновации. — Академик Петров против инновационных методов в научных исследованиях, значит эти методы действительно не заслуживают доверия. Петров — член известной ассоциации ученых с сорокалетним стажем, лауреат многих международных премий, его работы цитируются тысячи раз. Если такой авторитетный учёный говорит, что эти методы ненадёжны, значит, так оно и есть. Зачем нам спорить с человеком, который посвятил жизнь науке? Его мнение весит больше, чем все эти модные тренды. Раз академик Петров не доверяет инновациям, значит, они объективно несостоятельны."
194,provenance,1.0,build_cv_corpus,"-- Мы должны срочно обсудить законодательное регулирование алгоритмов рекомендаций в соцсетях. Они влияют на общественные настроения, усиливают поляризацию и могут использоваться для манипуляции массовым сознанием. Это вопрос национальной безопасности и защиты демократических институтов.  -- Но ведь у нас в регионе треть школ нуждается в капитальном ремонте, а в некоторых сёлах дети до сих пор учатся в две смены в зданиях без отопления — может, сначала этим займёмся? Пока мы тут спорим о виртуальных алгоритмах, реальные дети не могут нормально учиться."
