label	text	rationale
false dilemma	Social policy discusses support for the unemployed. The state is trying to find a balance between assistance and incentives to work. Either we stop paying benefits altogether. This seems like a way of getting people to look for work. Either people lose their motivation to work altogether. This approach ignores retraining and support programs as ineffective.	Either we stop paying benefits altogether.[SEP]Either people lose their motivation to work altogether.
appeal to emotion	At the residents' meeting they discussed the strengthening of the police. People talked about anxiety and sleepless nights. Do you really want fear to stay with us? It ruins lives. That's why the police should be given more powers and less restrictions.	Do you really want fear to stay with us?[SEP]That's why the police should be given more powers and less restrictions.
false dilemma	The issue of judicial reform has long been debated. Either we toughen penalties to the maximum to reduce crime. Fear of punishment must work as a deterrent. Or crime will get out of control. Soft measures are perceived as encouraging violations. In such a situation, drastic steps must be taken or the consequences will be severe.	Either we toughen penalties to the maximum[SEP]Or crime will get out of control.
faulty generalization	I recently ordered food from a new restaurant and the delivery guy was almost an hour late. It ruined the evening. One order was delivered late - so this service always works badly and all their orders arrive late. I don't want to order there anymore.	One order was delivered late - so this service always works badly and all their orders arrive late.
false dilemma	Either we ban plastic completely or we ban it completely. Environmental problems are becoming more visible and society is demanding action. Manufacturers are looking for alternatives, but the transition takes time. Either pollution becomes irreversible. In this logic, gradual restrictions seem ineffective because they do not produce immediate results.	Either we ban plastic completely or we ban it completely.[SEP]Either pollution becomes irreversible.
ad hominem	In the climate debate, the Speaker talked about reducing emissions. The critic responded: he likes demonstrative gestures and seeks public approval, so his arguments are just posturing and carry no weight. The conversation veered off into personality.	he likes demonstrative gestures and seeks public approval, so his arguments are just posturing and carry no weight
circular reasoning	The school program discussed the importance of discipline. Discipline is significant because it has high value, and its value is determined by the significance of the discipline. The school board supported the position.	Discipline is significant because it has high value, and its value is determined by the significance of the discipline.
appeal to emotion	- Internet freedom is important for the development of society. - What if someone gets hurt because of that freedom? People are already afraid for their loved ones. Are you willing to put freedom before safety? Then the Internet must be tightly controlled.	What if someone gets hurt because of that freedom?[SEP]Are you willing to put freedom before safety? Then the Internet must be tightly controlled.
appeal to emotion	At a discussion on reproductive rights, it was voiced: Many women then experience guilt that destroys them from the inside out. Do you want them to suffer for the rest of their lives? That's why abortion should be banned.	Do you want them to suffer for the rest of their lives? That's why abortion should be banned.
equivocation	When I was studying music, I was constantly told that it was important to feel the harmonies. Without harmony you can't create harmony, everything will sound chaotic and unpleasant. Fret is the harmony between sounds, and harmony is important between people. If there is harmony in a team, then everyone must obey the common system. Therefore, it is impossible to argue with the leader, because it destroys harmony and makes the team worse.	Fret is the harmony between sounds, and harmony is important between people. If there is harmony in a team, then everyone must obey the common system.
circular reasoning	The financial report evaluated the company's profitability. The company is profitable because it shows sustained profitability. This was seen as an indicator of success. At the same time Sustained profitability is because the company is profitable. The reasoning seemed self-contained.	The company is profitable because it shows sustained profitability.[SEP]Sustained profitability is because the company is profitable.
faulty generalization	Yesterday at my appointment, the GP couldn't diagnose me for a long time and sent me for tests. One doctor couldn't figure it out, so all doctors are incompetent. After that, I don't want to go to a polyclinic.	One doctor couldn't figure it out, so all doctors are incompetent.
ad populum	In a podcast about cryptocurrencies, the host stated: The general public is investing massively in bitcoin, so it's a safe asset. He then moved on to price dynamics.	The general public is investing massively in bitcoin, so it's a safe asset
appeal to emotion	A talk show was discussing the death penalty. One participant said: The parents of the victims cry every night, their lives are ruined. How can you talk about the humanity of murderers? That's why the death penalty should be brought back. It's the only way to ease their pain a little bit.	How can you talk about the humanity of murderers? That's why the death penalty should be brought back.
equivocation	I love walking in parks and observing nature. It is especially beautiful when the leaves change color in autumn. It creates a special atmosphere and mood. A leaf is a part of a tree that reflects its condition and health. If I sign a leaf of a document, it means that I also record the state and give it meaning. After all, the sheet already reflects the essence, and my signature only confirms it.	A leaf is a part of a tree that reflects its condition and health. If I sign a leaf of a document, it means that I also record the state and give it meaning.
circular reasoning	The project manager talks about the competence of the team. The team is competent because it demonstrates professionalism, and professionalism is defined by the fact that the team is competent. He then lists the expertise of the staff.	The team is competent because it demonstrates professionalism, and professionalism is defined by the fact that the team is competent
false dilemma	There are only two options: to completely abolish taxes for small businesses, to let them develop. Entrepreneurs need support. Or watch small businesses disappear. Companies can't survive under high pressure. So the solution must be radical.	There are only two options: to completely abolish taxes for small businesses,[SEP]Or watch small businesses disappear.
ad populum	I doubt cryptocurrencies are a safe investment. But millions of investors around the world are actively buying them, so it's a sound strategy. People wouldn't invest massively in something that doesn't do any good.	But millions of investors around the world are actively buying them, so it's a sound strategy.
intentional	A manager justifies the decision to launch a raw product to the market without full testing. We released the product early because we wanted to do what was best for users and give them access to the innovation as early as possible, even if there are bugs. People are waiting for new products and a delay could have disappointed them. Yes, we've gotten negative feedback and returns, but those are inevitable costs of progress. Risks and consequences don't matter when the goal is development and market leadership, otherwise we will always fall behind. Our intention is to move the industry forward, and that's more important than temporary issues that can be fixed with updates.	We released the product early because we wanted to do what was best for users and give them access to the innovation as early as possible[SEP]Risks and consequences don't matter when the goal is development and market leadership
fallacy of credibility	You propose a reform of the justice system, citing statistics and international experience. You are told: your proposals cannot be taken seriously because you are not a judge and have no experience in the judiciary and without such status you have no authority to discuss legal reforms. This ignores the data given. The focus is on your position rather than the content of your arguments, thus avoiding consideration.	your proposals cannot be taken seriously because you are not a judge and have no experience in the judiciary[SEP]without such status you have no authority to discuss legal reforms
intentional	"- I say ban single-use plastics in the city and switch to reusable solutions with subsidies for businesses. - You actually want to stifle small business with new requirements and fines while hiding behind environmentalism and a trendy agenda. Your goal is to increase oversight and create a market for the ""right"" suppliers, not to reduce waste. You haven't shown transition cost calculations or offered a realistic timetable. This seems to be an initiative for political points and pressure on entrepreneurs. So your environmental arguments seem secondary to the supposed benefits of regulation."	"You actually want to stifle small business with new requirements and fines while hiding behind environmentalism[SEP]Your goal is to increase oversight and create a market for the ""right"" suppliers, not to reduce waste"
fallacy of credibility	- Experts suggest limiting the use of single-use plastic to protect the oceans. - This initiative is right because it is supported by a well-known entrepreneur, so it is effective. He founded a successful company and often speaks at forums. If a person with such authority talks about the harm of plastic, then it doesn't require further proof. His business success is perceived as a universal indicator of competence.	This initiative is right because it is supported by a well-known entrepreneur, so it is effective.[SEP]If a person with such authority talks about the harm of plastic, then it doesn't require further proof
false dilemma	The education system is experiencing a quality crisis, and the discussion of reforms is becoming more and more heated. Curricula are overloaded, teachers complain about the lack of time, and parents complain about the lack of transparent criteria for assessing knowledge. The only correct solution is to switch entirely to standardized tests, which supposedly eliminate subjectivity and ensure a level playing field for all students. This ignores the complexities of implementation and the diversity of educational goals. This approach treats any alternative methods - projects, oral exams, or portfolios - as secondary and unreliable, even if they can complement the system.	The only correct solution is to switch entirely to standardized tests,
false causality	The teacher noticed that students who use colored pens are more likely to get high grades. This has been observed for several years. If good grades coincide with the use of colored pens, it means that they help to remember the material better and improve their grades. So he advises everyone to switch to them.	If good grades coincide with the use of colored pens, it means that they help to remember the material better and improve their grades.
ad populum	In a philosophy lecture, a student said: this concept is not widely accepted and remains marginalized, so it is wrong. The teacher suggested discussing the arguments further.	this concept is not widely accepted and remains marginalized, so it is wrong
fallacy of extension	- I believe that universities should encourage academic honesty and severely penalize systematic plagiarism in order to preserve the quality of education. It is important for all students. should severely penalize systematic plagiarism to maintain academic honesty - So you want to expel students for any minor mistake? Then no one will be able to study, they'll be expelled for coincidence! It's a repressive system!	should severely penalize systematic plagiarism to maintain academic honesty[SEP]you want to expel students for any minor mistake
ad populum	The company discussed the transition to a four-day work week. Majority of employees in the survey were in favor of this model, therefore it would increase productivity. The management made the decision without further research.	Majority of employees in the survey were in favor of this model, therefore it would increase productivity
faulty generalization	One candidate couldn't answer basic questions in the interview, which means that all graduates of this university are underprepared. We were just discussing hiring. Maybe we should reevaluate the sources of candidates.	One candidate couldn't answer basic questions in the interview, which means that all graduates of this university are underprepared
false dilemma	On the issue of digital security, there is a strong statement: there is only one right solution - complete control over user data to prevent cyber threats. This leaves privacy and citizens' rights unaddressed. Technology companies and the government must strike a balance. Either data breaches and cyberattacks will become the norm, leading to a loss of trust in digital services. This view limits the range of possible approaches.	there is only one right solution - complete control over user data[SEP]Either data breaches and cyberattacks will become the norm,
false causality	When new coffee shops were opened in the city, the number of meetings and acquaintances among young people increased significantly and social life became more active. So it is coffee shops that stimulate the formation of new connections between people. They are beginning to be seen as an important social factor.	When new coffee shops were opened in the city, the number of meetings and acquaintances among young people increased significantly
appeal to emotion	In a conversation about prisoners' rights, the activist tried to talk about rehabilitation. He was interrupted. How can you sympathize with those who ruined other people's lives? People remembered high-profile tragedies. That's why prison conditions should be as harsh as possible.	How can you sympathize with those who ruined other people's lives?[SEP]That's why prison conditions should be as harsh as possible.
ad populum	"Why argue about the fate of the old theater in the central square? Polls show Nearly 80 percent of citizens support its demolition and the construction of a modern entertainment center with a movie theater, bowling alley and restaurants. Every second post on social networks is in favor of the demolition, and five times as many people gathered at the rally in favor of the construction as against. When the overwhelming majority unanimously says ""yes"" - it's not just an opinion, it's the will of the city. And the will of the majority always reflects the true needs of the community. The few activists who cling to ""historic value"" simply don't realize that the city lives in the present, not the past. The majority can't be wrong: if 78% of the people want an entertainment center, then that's the way it should be. Their opinion is more important than the opinion of a handful of nostalgic romantics."	Why argue about the fate of the old theater[SEP]Nearly 80 percent of citizens support[SEP]demolition[SEP]The majority can't be wrong
false causality	With the growing popularity of online courses, the number of people changing careers has increased, which means that it is distance learning that causes career changes. Many consider this to be a major factor in the flexibility of today's labor market.	With the growing popularity of online courses, the number of people changing careers has increased, which means that it is distance learning that causes career changes
equivocation	I have always believed that the key to success is understanding your goals and being able to find solutions in difficult situations. When you have such a key, you can open any door in life and achieve what you want. The key should fit the lock and open it without effort, so the key to success should literally open opportunities. So if I have a metal key to the office, I already have access to success, because it opens the door to work and money.	The key should fit the lock and open it without effort, so the key to success should literally open opportunities. So if I have a metal key to the office, I already have access to success, because it opens the door to work and money.
fallacy of extension	"In a discussion about student plagiarism, one participant cautiously remarked, ""Intellectual property is complicated, and it's not always easy to know where citation ends and plagiarism begins - especially for freshmen who are encountering academic rules for the first time."" His opponent immediately exclaimed: ""Yeah, so you think plagiarism should be excused because it's impossible to figure out! Tomorrow students will just copy entire books, and you will clap your hands at them - 'well done, you've solved a difficult topic!' And in a year's time, you'll cancel exams altogether - why think for yourself when you can copy everything from the first link in a search?""."	Intellectual property is complicated[SEP]it's not always easy to know where citation ends and plagiarism begins[SEP]so you think plagiarism should be excused because it's impossible to figure out
circular reasoning	Educational policy discussed assessment standards. An assessment system is objective because it reflects students' real knowledge, and the reflection of real knowledge is ensured by the fact that the system is objective. This became an argument for reform.	An assessment system is objective because it reflects students' real knowledge, and the reflection of real knowledge is ensured by the fact that the system is objective.
fallacy of extension	- I think there should be more emphasis on preventative medicine to reduce the burden on hospitals. This includes education and regular checkups. Prevention should be in addition to treatment, not a substitute for it. - So you want to stop treating people altogether and limit yourself to just giving healthy lifestyle advice? So if a person is seriously ill, you suggest that he should just eat right and take a walk? Are you suggesting to close hospitals, disband doctors and leave people alone with diseases? This is not medicine, but a mockery of patients!	Prevention should be in addition to treatment, not a substitute for it. - So you want to stop treating people altogether and limit yourself to just giving healthy lifestyle advice
appeal to emotion	The politician discussed the closing of the borders. He talked about the growing anxiety among the population. Do you want your children to grow up in fear of unknown threats? That's why the country has to be isolated. It's for their future.	Do you want your children to grow up in fear of unknown threats? That's why the country has to be isolated.
