label	text	rationale
false causality	В университете открыли новый коворкинг, и через год увеличилось число стартапов среди студентов. Это активно обсуждается. Поскольку рост стартапов последовал за появлением коворкинга, значит именно он стал причиной предпринимательской активности студентов. Такие пространства нужно создавать повсеместно.	Поскольку рост стартапов последовал за появлением коворкинга, значит именно он стал причиной предпринимательской активности студентов
fallacy of extension	— Я предлагаю пересмотреть памятник колонизатору Ивану Петрову в центре города. Он стоял там с 1905 года, но сегодня мы знаем, что он участвовал в подавлении восстаний коренных народов и конфискации их земель. Может, стоит переместить памятник в исторический музей под открытым небом, где можно будет показать полный контекст его деятельности — и достижения, и тёмные стороны? А на его месте установить мемориал, посвящённый культуре коренных народов региона. — Погодите! Значит, вы хотите полностью уничтожить нашу историю и культуру, стереть память о предках! Вы предлагаете снести все памятники, переименовать все улицы, запретить изучение истории до XX века! Вы хотите, чтобы наши дети ничего не знали о прошлом, чтобы они выросли без корней, без идентичности! Следуя вашей логике, нужно сжечь все архивы, закрыть музеи, запретить праздновать исторические даты! Вы хотите превратить наш город в культурную пустыню, где никто не помнит, откуда пришли его предки! Это же полное безумие — уничтожать историю только потому, что в ней есть сложные страницы!	стоит переместить памятник в[SEP]музей[SEP]Погодите! Значит, вы хотите полностью уничтожить нашу историю и культуру[SEP]чтобы[SEP]дети ничего не знали о прошлом
fallacy of extension	— В медицине я придерживаюсь мнения, что врачам стоит уделять больше времени объяснению пациентам диагноза и вариантов лечения. Это повышает доверие и помогает людям принимать осознанные решения, не увеличивая кардинально нагрузку на систему. — Понятно, вы хотите, чтобы врачи часами разговаривали с каждым пациентом и перестали вообще лечить людей? Значит, очереди станут бесконечными, а медицинская помощь фактически остановится! Врачи будут превращены в психологов, а не специалистов, и никто не получит реального лечения вовремя. Это разрушит всю систему здравоохранения!	врачам стоит уделять больше времени объяснению пациентам диагноза и вариантов лечения[SEP]вы хотите, чтобы врачи часами разговаривали с каждым пациентом и перестали вообще лечить людей
circular reasoning	Смертная казнь должна существовать, потому что необходимо казнить преступников, приговариваемых к смертной казни. А нужно казнить преступников, приговариваемых к смертной казни, поскольку должна существовать смертная казнь. Если смертная казнь существует, то преступников нужно казнить — иначе зачем она вообще нужна? А если преступников нужно казнить, то смертная казнь должна существовать — иначе как их казнить?	Смертная казнь должна существовать, потому что необходимо казнить преступников, приговариваемых к смертной казни. А нужно казнить преступников, приговариваемых к смертной казни, поскольку должна существовать смертная казнь
false causality	-- В этом году мы внедрили в школе систему электронных дневников, и успеваемость по математике выросла на 12%. Но я считаю, что это связано с тем, что учителя стали активнее использовать интерактивные задания, а не с самими дневниками.  -- А я вижу чёткую закономерность: с тех пор как дети начали каждый день заходить в электронный дневник и видеть свои оценки, они стали больше учиться. Значит, электронный дневник напрямую повышает успеваемость. Раньше без него оценки были хуже, а теперь лучше — и это не случайность.	с тех пор как дети начали каждый день заходить в электронный дневник и видеть свои оценки, они стали больше учиться. Значит, электронный дневник напрямую повышает успеваемость
appeal to emotion	На обсуждении цифровой безопасности говорили о сборе данных. Один эксперт заявил: преступники уже используют технологии против нас. Неужели вы хотите остаться беззащитными перед ними? Каждый день приносит новые угрозы. Поэтому государство должно иметь доступ ко всем личным данным.	Неужели вы хотите остаться беззащитными перед ними?[SEP]Поэтому государство должно иметь доступ ко всем личным данным.
fallacy of extension	— Я считаю, что детям младшего возраста стоит постепенно вводить доступ к социальным сетям под контролем родителей, чтобы снизить риски зависимости и травли. — Значит, вы хотите полностью изолировать детей от интернета и технологий навсегда? Пусть они растут в полной информационной блокаде? Вы предлагаете лишить их общения, знаний и современных навыков? Тогда они просто не смогут жить в цифровом мире!	детям младшего возраста стоит постепенно вводить доступ к социальным сетям под контролем родителей[SEP]Значит, вы хотите полностью изолировать детей от интернета и технологий навсегда
false causality	После установки новых фонарей во дворе дети стали дольше играть на улице. Родители отмечают, что теперь двор оживлён даже вечером. Так как освещение появилось до увеличения времени игр, значит именно фонари сделали детей более активными. Это считают хорошим примером благоустройства.	Так как освещение появилось до увеличения времени игр, значит именно фонари сделали детей более активными
circular reasoning	В дискуссии о научной теории один участник заявил: Теория достоверна, поскольку она подтверждается наблюдениями, а сами наблюдения интерпретируются как подтверждение потому, что теория достоверна. После этого обсуждение перешло к деталям эксперимента.	Теория достоверна, поскольку она подтверждается наблюдениями, а сами наблюдения интерпретируются как подтверждение потому, что теория достоверна
false dilemma	В бюджетной политике у нас есть только два пути. Экономика переживает непростой период, доходы снижаются, а обязательства государства растут. При этом необходимо финансировать здравоохранение, образование и инфраструктуру, иначе качество жизни начнёт ухудшаться. Либо мы резко повышаем налоги, даже если это вызывает недовольство бизнеса и населения. В таком случае бюджет быстро наполняется, но экономическая активность может замедлиться. либо мы полностью отказываемся от социальных расходов и оставляем людей без поддержки. Это приведёт к сокращению программ помощи и росту неравенства. В таких условиях нельзя рассчитывать на постепенные изменения или гибкие решения, потому что ситуация требует жёсткого выбора уже сейчас.	В бюджетной политике у нас есть только два пути[SEP]Либо мы резко повышаем налоги[SEP]либо мы полностью отказываемся от социальных расходов и оставляем людей без поддержки
