label	text	rationale
equivocation	I think about how important it is to have a direction in life. Without it, one is lost and cannot achieve goals. Direction sets the movement, like the direction of the wind affects the path. If I understand the directions, then I am always going in the right direction. So I don't need to plan - I can feel the direction.	Direction sets the movement, like the direction of the wind affects the path. If I understand the directions, then I am always going in the right direction.
fallacy of extension	- I think it is worth limiting fast food advertising aimed at children to reduce the impact on their eating habits; adults make their own choices, but children are more vulnerable to marketing. This is common practice in different countries. - So you want to completely ban fast food and control what people eat every day under threat of punishment? Are you proposing to decide for everyone what they can and can't eat? By your logic, the state will stand in the kitchen and check the plates of citizens. This is no longer a concern, but a dictate!	is worth limiting fast food advertising aimed at children to reduce the impact on their eating habits[SEP]So you want to completely ban fast food and control what people eat every day under threat of punishment
circular reasoning	In medicine, the diagnostic protocol has been argued. Diagnosis is accurate because it correctly reflects the patient's condition. Doctors rely on it. And it correctly reflects the condition because the diagnosis is accurate. They continue treatment on that basis.	Diagnosis is accurate because it correctly reflects the patient's condition.[SEP]And it correctly reflects the condition because the diagnosis is accurate.
appeal to emotion	- Free speech is important, even if opinions are unpleasant. - But those words can hurt people to the core. Do you really want someone to suffer because of what they say? That's why there should be strict censorship.	Do you really want someone to suffer because of what they say? That's why there should be strict censorship.
faulty generalization	"An education summit brought together school principals, educators, and officials to discuss anti-bullying practices. One speaker, a private school principal with 20 years of experience, detailed his success story: ""After implementing zero tolerance for aggression - including fights and verbal violence - there was peace and respect in our school. We introduced strict sanctions: for any manifestation of aggression - immediate suspension, work with a psychologist, and in case of recurrence - expulsion. In three years, the number of conflicts has dropped to zero, and academic performance has increased. A participant from the audience, without waiting for questions, immediately concluded: ""So this policy is perfect and should be applied in all schools in the country without exception! If it worked in one school, why not implement it everywhere?"""	this policy is perfect and should be applied in all schools[SEP]If it worked in one school, why not implement it everywhere?
faulty generalization	On the trip I got a driver who didn't know the road well. I had to tell the route myself. One driver was wrong, which means that all the drivers of the service have poor knowledge of the city. Since then, I try to choose another way of traveling.	One driver was wrong, which means that all the drivers of the service have poor knowledge of the city.
ad hominem	An environmentalist suggested banning single-use plastics. In response, a colleague remarked: He is hypocritical and regularly uses single-use packaging in his household, so his arguments about banning plastic have no weight. Let's look for other solutions.	He is hypocritical and regularly uses single-use packaging in his household, so his arguments about banning plastic have no weight
equivocation	I think about how important it is to have the root of the problem. When you find the root, you know how to fix it, because that's where the cause is hidden. It makes it easier to solve problems. The root is the foundation, like a plant, and if you take out the root, the problem disappears completely, so any complex phenomenon can be eliminated with one action.	The root is the foundation, like a plant, and if you take out the root, the problem disappears completely, so any complex phenomenon can be eliminated with one action.
ad hominem	In a discussion on the philosophy of consciousness, one participant proposed a materialist approach. The opponent responded: He is known for his spiritual emptiness and denial of non-material values, so his arguments about the nature of consciousness are not credible. This is a one-sided view.	He is known for his spiritual emptiness and denial of non-material values, so his arguments about the nature of consciousness are not credible
ad hominem	- I propose stricter environmental standards for businesses to reduce air pollution. - It is not worth taking his proposals seriously because he himself leads a wasteful lifestyle and regularly flies on private flights, so his arguments about protecting the environment are hypocritical. It is unlikely that such a person really cares about the environment.	It is not worth taking his proposals seriously because he himself leads a wasteful lifestyle and regularly flies on private flights, so his arguments about protecting the environment are hypocritical.
fallacy of extension	- I believe that the school program should be periodically updated to reflect modern realities and new knowledge. - So you want to throw out the entire classical program and leave children without basic knowledge? No literature, no history - only fashion trends?	the school program should be periodically updated to reflect modern realities and new knowledge[SEP]you want to throw out the entire classical program and leave children without basic knowledge
equivocation	I always strive to have a good appearance. Appearance is important, it affects the first impression, the attitude of others. But there is also the inner appearance of a person - his character, behavior. If a sentence has a look that determines its shape, it means that a person is completely determined by his look and cannot be different.	If a sentence has a look that determines its shape, it means that a person is completely determined by his look and cannot be different.
faulty generalization	-- We need to objectively assess the effectiveness of the sanctions toolkit. There have been cases in history when restrictive measures have actually led to a change in the opponent's policy, but there have also been failures when sanctions have only strengthened the regime or harmed the initiator's economy. Therefore, each situation requires a separate analysis.  -- I disagree. Let's take a recent example: the imposition of an embargo on technology supplies to a neighboring country forced it to negotiate and concede on key points. Sanctions are effective because in one particular case they led to the desired results. So it will always be that way. If we apply the same tough sanctions in any other conflict, the outcome will be just as favorable. There is no need to invent complex models when we have direct evidence.	Sanctions are effective because in one particular case they led to the desired results. So it will always be that way. If we apply the same tough sanctions in any other conflict, the outcome will be just as favorable
false causality	When people start keeping a diary, they often become more organized. If note-taking is a precursor to better self-organization, then it is the diary that builds discipline. It's a universal tool.	If note-taking is a precursor to better self-organization, then it is the diary that builds discipline.
fallacy of relevance	-- We propose to expand social support programs for women involved in prostitution: to give them access to free legal aid, psychological counseling and professional retraining. This is a proven way to reduce vulnerability and help people return to normal life.  -- We should focus entirely on orphans - providing them with housing, education and care, rather than wasting time discussing immoral phenomena such as prostitution. It distracts society from the true priorities. While we are discussing how to help those who have made their own choices, thousands of children are left without a roof over their heads.	We should focus entirely on orphans[SEP]wasting time discussing immoral phenomena such as prostitution
faulty generalization	I have seen one movie by this director and it was boring. It left a strong impression. One bad movie shows that all his works are just as weak and uninteresting. I'm not likely to watch any others.	One bad movie shows that all his works are just as weak and uninteresting.
false causality	Over the last ten years, our economy has grown by 45%, and the number of people with higher education has increased by 60%. This is no accident - the growth of the economy is directly attributable to the increase in the number of credentialed specialists. Each additional percentage of people with a degree adds 0.75% to GDP. So to keep growing the economy, we simply need to build more universities and increase the number of graduates -- this is guaranteed to lead to economic prosperity. It's simple: more degrees -- stronger economy.	Over the last ten years, our economy[SEP]grown[SEP]and the number of people with higher education has increased[SEP]growth of the economy is directly attributable to the increase in the number[SEP]specialists
faulty generalization	I signed up for a trial yoga class to try something new. The workout seemed too easy. One class didn't work, so all yoga classes are ineffective. Perhaps I should choose a different format.	One class didn't work, so all yoga classes are ineffective.
false causality	Last year I started getting up at 5am and noticed that I started getting praise from my bosses more often. It was a lot of work, but the results really improved. If it is precisely after early rising that success at work appeared, it means that the very fact of rising at 5 a.m. directly makes a person more productive and a valuable employee. Now I advise everyone to switch to such a regime.	If it is precisely after early rising that success at work appeared, it means that the very fact of rising at 5 a.m. directly makes a person more productive and a valuable employee.
ad populum	He refused to consider a rare legal strategy. It is hardly used in practice and is not widely practiced by lawyers, hence it is ineffective. The client was offered a standard solution.	It is hardly used in practice and is not widely practiced by lawyers, hence it is ineffective.
appeal to emotion	"At the defense meeting, the official said: ""Enemies can attack at any moment. Imagine the terror of a surprise attack, how will you live with that fear? People are not prepared for that. ♪ So we have to increase military spending at any cost ♪"	Imagine the terror of a surprise attack, how will you live with that fear?[SEP]So we have to increase military spending at any cost
circular reasoning	In analyzing the investment fund, the analyst emphasized: its strategy is sustainable as it demonstrates stable returns. This inspires confidence. And the stability of returns stems from the stability of the strategy. Therefore, the fund was recognized as reliable.	its strategy is sustainable as it demonstrates stable returns[SEP]And the stability of returns stems from the stability of the strategy
circular reasoning	In a law lecture, we were discussing the legitimacy of court decisions. A court decision is legitimate because it was made in a legal procedure. This builds confidence. The procedure is considered legitimate because it leads to legitimate decisions. As a result, the decision is recognized without dispute.	A court decision is legitimate because it was made in a legal procedure.[SEP]The procedure is considered legitimate because it leads to legitimate decisions.
equivocation	I am sure that a leaf plays an important role in nature. It takes part in photosynthesis, provides energy for the plant and sustains life. A leaf is the basis for the functioning of a system, without it, everything breaks down. That's why I pay close attention to documents. If a report is missing a leaf, it means that the whole system is not working and cannot be trusted, because the foundation is broken.	A leaf is the basis for the functioning of a system, without it, everything breaks down.[SEP]If a report is missing a leaf, it means that the whole system is not working and cannot be trusted,
false dilemma	Today we stand at a crossroads. Either we immediately reinstate the death penalty and life imprisonment with no pardon for all violent criminals, or society will descend into chaos and lawlessness. Tomorrow already, street gangs will dictate their rules, and ordinary people will not dare to leave their homes. There is no other choice: either the iron hand of justice or anarchy. Gentleness is a betrayal of honest citizens.	Either[SEP]reinstate the death penalty and life imprisonment[SEP]or society will descend into chaos
ad hominem	He argues that the penitentiary system needs to be reformed. He is himself an aggressive and conflict-prone person, so his arguments about humanizing punishments have no value. This is questionable.	He is himself an aggressive and conflict-prone person, so his arguments about humanizing punishments have no value.
ad populum	A university was discussing a new teaching methodology. The professor remarked: Most of the leading universities have already implemented this approach, so it is pedagogically justified. The discussion then shifted to implementation issues.	Most of the leading universities have already implemented this approach, so it is pedagogically justified
ad populum	In a sociology lecture, a student questioned a popular theory. But it is supported by the majority of researchers, so it is true. Scientific consensus is rarely wrong.	But it is supported by the majority of researchers, so it is true.
false causality	After the office chairs were replaced with more comfortable chairs, employees were more likely to stay late at work. If this happened immediately after the furniture upgrade, then it's the new chairs that are increasing work engagement.	If this happened immediately after the furniture upgrade, then it's the new chairs that are increasing work engagement.
false dilemma	There is simply no other way: either we cut government spending on social programs, to balance the budget. The deficit is growing and must be controlled. Or the country is plunged into a debt crisis, which will affect all areas of the economy. Attempts to increase budget revenues by other means seem insufficiently reliable in the short term.	There is simply no other way: either we cut government spending on social programs,[SEP]Or the country is plunged into a debt crisis,
ad hominem	- We need to develop public transportation in the suburbs. - You are known for your inconsistency and frequent changing of positions, so your arguments are unreliable and not worthy of attention. Let's move on to other proposals.	You are known for your inconsistency and frequent changing of positions, so your arguments are unreliable and not worthy of attention
fallacy of extension	- I think that schools should discuss ecology and sustainable development to foster a responsible attitude towards nature. - So you want to indoctrinate children that humanity is evil and we should reject progress? Are you suggesting we raise a generation that will be afraid of technology and development? That's extreme!	schools should discuss ecology and sustainable development[SEP]you want to indoctrinate children that humanity is evil and we should reject progress
appeal to emotion	There was a discussion about expanding police powers. One official said: Criminals feel impunity and ordinary people live in anxiety. How can you leave them unprotected? Every minute of delay could cost someone their life. ♪ So the police should be given more rights, even without a warrant ♪	How can you leave them unprotected?[SEP]So the police should be given more rights, even without a warrant
circular reasoning	At a medical conference, they were talking about a new method of therapy. The method is considered effective because it improves patients' condition, and the improvement of patients' condition is due to its effectiveness. Many participants supported the introduction of the practice.	The method is considered effective because it improves patients' condition, and the improvement of patients' condition is due to its effectiveness.
false dilemma	The issue of technology regulation is becoming more and more acute. Either we impose strict controls on artificial intelligence to avoid risks. It's evolving too fast. or the technology will get out of control and harm society. The self-regulation of companies is questionable. That's why we need to intervene.	Either we impose strict controls on artificial intelligence[SEP]or the technology will get out of control and harm society.
