label	text	rationale
equivocation	Я думаю о том, как важно иметь направление в жизни. Без него человек теряется и не может достичь целей. Направление задаёт движение, как направление ветра влияет на путь. Если я понимаю направления, значит, я всегда иду в правильную сторону. Поэтому мне не нужно планировать — я и так чувствую направление.	Направление задаёт движение, как направление ветра влияет на путь. Если я понимаю направления, значит, я всегда иду в правильную сторону.
fallacy of extension	— Я думаю, что стоит ограничить рекламу фастфуда, ориентированную на детей, чтобы снизить влияние на их пищевые привычки; взрослые сами делают выбор, но дети более уязвимы к маркетингу. Это обычная практика в разных странах. — То есть вы хотите полностью запретить фастфуд и контролировать, что люди едят каждый день под угрозой наказания? Вы предлагаете решать за всех, что им можно есть, а что нельзя? По вашей логике, государство будет стоять на кухне и проверять тарелки граждан. Это уже не забота, а диктат!	стоит ограничить рекламу фастфуда, ориентированную на детей, чтобы снизить влияние на их пищевые привычки[SEP]То есть вы хотите полностью запретить фастфуд и контролировать, что люди едят каждый день под угрозой наказания
circular reasoning	В медицине спорили о диагностическом протоколе. Диагноз точный, потому что он правильно отражает состояние пациента. Врачи опираются на него. А он правильно отражает состояние, потому что диагноз точный. На этом основании продолжают лечение.	Диагноз точный, потому что он правильно отражает состояние пациента[SEP]А он правильно отражает состояние, потому что диагноз точный
appeal to emotion	— Свобода слова важна, даже если мнения неприятны. — Но эти слова могут ранить людей до глубины души. Неужели вы хотите, чтобы кто-то страдал из-за чужих высказываний? Поэтому нужно ввести строгую цензуру.	Неужели вы хотите, чтобы кто-то страдал из-за чужих высказываний? Поэтому нужно ввести строгую цензуру.
faulty generalization	На образовательном саммите собрались директора школ, педагоги и чиновники, чтобы обсудить методы борьбы с буллингом. Один из докладчиков, директор частной школы с двадцатилетним стажем, подробно описал свою историю успеха: «После внедрения нулевой терпимости к агрессии — включая драки и словесное насилие — у нас в школе наступил мир и уважение. Мы ввели строгие санкции: за любое проявление агрессии — немедленное отстранение, работа с психологом, а в случае рецидива — исключение. За три года количество конфликтов снизилось до нуля, а успеваемость выросла». Участник из зала, не дожидаясь вопросов, немедленно заключил: «Значит, эта политика идеальна и должна применяться во всех школах страны без исключений! Если она сработала в одной школе, то почему бы не внедрить её повсеместно?»	эта политика идеальна и должна применяться во всех школах[SEP]Если она сработала в одной школе, то почему бы не внедрить её повсеместно
faulty generalization	В поездке мне попался водитель, который плохо знал дорогу. Пришлось самому подсказывать маршрут. Один водитель ошибался — значит, все водители сервиса плохо ориентируются в городе. С тех пор я стараюсь выбирать другой способ передвижения.	Один водитель ошибался — значит, все водители сервиса плохо ориентируются в городе
ad hominem	Эколог предложил запретить одноразовый пластик. В ответ коллега заметил: Он лицемерен и регулярно пользуется одноразовой упаковкой в быту, следовательно его аргументы о запрете пластика не имеют веса. Давайте искать другие решения.	Он лицемерен и регулярно пользуется одноразовой упаковкой в быту, следовательно его аргументы о запрете пластика не имеют веса
equivocation	Я думаю о том, как важно иметь корень проблемы. Когда находишь корень, становится понятно, как всё исправить, ведь именно там скрыта причина. Это упрощает решение задач. Корень — это основа, как у растения, и если вырвать корень, проблема исчезает полностью, значит, любое сложное явление можно устранить одним действием. Поэтому не нужно разбираться в деталях.	Корень — это основа, как у растения, и если вырвать корень, проблема исчезает полностью, значит, любое сложное явление можно устранить одним действием.
ad hominem	В дискуссии о философии сознания один участник предложил материалистический подход. Оппонент ответил: Он известен своей духовной пустотой и отрицанием нематериальных ценностей, поэтому его аргументы о природе сознания не заслуживают доверия. Это односторонний взгляд.	Он известен своей духовной пустотой и отрицанием нематериальных ценностей, поэтому его аргументы о природе сознания не заслуживают доверия
ad hominem	— Я предлагаю ввести более строгие экологические стандарты для предприятий, чтобы снизить уровень загрязнения воздуха. — Не стоит всерьёз воспринимать его предложения, потому что он сам ведёт расточительный образ жизни и регулярно летает на частных рейсах, следовательно его аргументы о защите экологии лицемерны. Вряд ли такой человек действительно заботится о природе.	Не стоит всерьёз воспринимать его предложения, потому что он сам ведёт расточительный образ жизни и регулярно летает на частных рейсах, следовательно его аргументы о защите экологии лицемерны
