label	text	rationale
intentional	На совещании в IT-компании обсуждали переход на открытую систему отчётности по задачам, чтобы повысить прозрачность и снизить дублирование работы. Один из разработчиков привёл примеры, как это помогло в других командах сократить сроки релизов и улучшить коммуникацию. Руководитель резко возразил: Вы продвигаете открытую отчётность не ради эффективности команды, а потому что хотите контролировать коллег и вмешиваться в чужую работу. По его мнению, за словами о прозрачности скрывается стремление следить за каждым шагом сотрудников и усиливать давление. Он добавил, что такие инициативы всегда исходят от людей, которым не хватает власти и которые пытаются её компенсировать. В итоге обсуждение преимуществ системы было полностью проигнорировано, а разговор свёлся к обвинениям в скрытых мотивах и личных амбициях.	Вы продвигаете открытую отчётность не ради эффективности команды, а потому что хотите контролировать коллег и вмешиваться в чужую работу
ad populum	В разговоре о питании один из собеседников заявил: статистически значимое большинство придерживается безглютеновой диеты, следовательно, она полезна для здоровья. Это уже не просто тренд.	статистически значимое большинство придерживается безглютеновой диеты, следовательно, она полезна для здоровья
fallacy of extension	— Я думаю, что в университетах стоит пересмотреть часть устаревших курсов и заменить их более актуальными дисциплинами, связанными с современными навыками. Это не отменяет фундаментальных знаний, а лишь обновляет содержание образования. — То есть вы предлагаете полностью отказаться от классического образования и оставить только модные прикладные курсы? Никакой теории, никакой базы — только тренды и сиюминутные навыки! Завтра всё изменится, и выпускники окажутся ни с чем. По вашей логике, университеты должны превратиться в краткосрочные курсы без глубины, где никто не понимает основ, зато все гонятся за «актуальностью». Это же разрушение самой идеи образования!	в университетах стоит пересмотреть часть устаревших курсов и заменить их более актуальными дисциплинами[SEP]вы предлагаете полностью отказаться от классического образования и оставить только модные прикладные курсы
faulty generalization	Я вчера на дебатах услышал выступление одного человека, который был против свободы слова. Он утверждал, что все СМИ лгут, а критика власти — это предательство. Его аргументы были эмоциональными, без фактов, и он постоянно переходил на личности оппонентов. После этого я сделал вывод: все противники свободы слова — это необразованные, агрессивные люди, которые не способны к рациональному диалогу. Они все думают одинаково: «Закрой рот, если не согласен с властью». У них нет внятных аргументов, только страх и ненависть к инакомыслию. Поэтому с ними бесполезно спорить — они всё равно не поймут. Один этот человек доказал, что вся группа противников свободы слова состоит из невежд, которые боятся правды.	услышал выступление одного человека[SEP]против свободы слова[SEP]Его аргументы были[SEP]без фактов[SEP]я сделал вывод: все противники свободы слова — это необразованные, агрессивные люди, которые не способны к рациональному диалогу
false dilemma	В сфере кибербезопасности утверждают: либо мы полностью контролируем все пользовательские данные, включая переписку и активность в сети. Это объясняется необходимостью предотвращения угроз. либо государство становится уязвимым перед кибератаками. При этом приватность рассматривается как второстепенный вопрос.	либо мы полностью контролируем все пользовательские данные[SEP]либо государство становится уязвимым перед кибератаками
false causality	В школе ввели обязательную форму, и дисциплина среди учеников улучшилась. Поскольку улучшение дисциплины произошло после введения формы, именно она стала причиной более организованного поведения. Это подтверждает пользу строгих правил.	Поскольку улучшение дисциплины произошло после введения формы, именно она стала причиной более организованного поведения
circular reasoning	В дискуссии о морали утверждается недопустимость определённого поведения. Поступок аморален, потому что нарушает моральные нормы, а нормы считаются нарушенными, поскольку поступок аморален. Дальше обсуждаются культурные различия.	Поступок аморален, потому что нарушает моральные нормы, а нормы считаются нарушенными, поскольку поступок аморален
fallacy of credibility	— Я думаю, что нужно регулировать рынок криптовалют, потому что есть риски мошенничества. — Ты не разбираешься в финансах и не имеешь экономического образования, поэтому, даже если ты приводишь аргументы, твоё мнение о криптовалютах не заслуживает внимания. У тебя нет опыта работы в банках или инвестиционных фондах, ты не изучал финансовые рынки профессионально. Без этого невозможно оценивать риски и перспективы криптовалют. Даже если ты читаешь аналитические отчёты, отсутствие профильной подготовки делает твои выводы несостоятельными. Такие вопросы должны обсуждать только профессиональные экономисты и инвесторы.	Ты не разбираешься в финансах и не имеешь экономического образования[SEP]твоё мнение о криптовалютах не заслуживает внимания
ad hominem	— Нужно реформировать судебную практику, чтобы снизить предвзятость. — Это говорит человек, который сам склонен к предвзятым суждениям и личным симпатиям, поэтому его аргументы о справедливости не заслуживают доверия. Реформы требуют нейтральности.	Это говорит человек, который сам склонен к предвзятым суждениям и личным симпатиям, поэтому его аргументы о справедливости не заслуживают доверия
false causality	После выхода нового популярного сериала резко вырос интерес к изучению иностранных языков. Так как рост интереса произошёл сразу после премьеры, считается, что именно сериал мотивирует людей учить языки. Это подтверждает влияние медиа на образование.	Так как рост интереса произошёл сразу после премьеры, считается, что именно сериал мотивирует людей учить языки
intentional	На обсуждении военной операции представитель власти заявил: Мы начали эту операцию исключительно из благих намерений — защитить население и восстановить порядок, поэтому любые потери неизбежны и оправданы высокой целью. Он признал разрушения и жертвы, но подчеркнул, что цель важнее последствий. По его мнению, критика операции игнорирует её моральную основу. Он настаивал, что когда государство действует ради безопасности, оценивать действия по результатам неправильно, потому что намерения изначально были правильными.	Мы начали эту операцию исключительно из благих намерений — защитить население и восстановить порядок, поэтому любые потери неизбежны и оправданы высокой целью
intentional	После провала рекламной кампании маркетолог объяснил, что сознательно использовал провокационные слоганы: Да, кампания вызвала негатив и отток клиентов, но мы хотели как лучше — привлечь внимание к важной социальной теме и заставить людей задуматься. Он подчеркнул, что шум вокруг бренда увеличил узнаваемость. Главное — наши намерения были благородными и направлены на общественную дискуссию, а не только на продажи. Он игнорировал падение выручки и жалобы клиентов, оправдывая последствия исключительно «высокой целью».	Да, кампания вызвала негатив и отток клиентов, но мы хотели как лучше — привлечь внимание к важной социальной теме и заставить людей задуматься[SEP]Главное — наши намерения были благородными и направлены на общественную дискуссию, а не только на продажи
appeal to emotion	Обсуждая закрытие границ, чиновник заявил: поезда прибывают, и никто не знает, кто среди приезжих. Люди боятся выходить на улицу по вечерам. Неужели вы хотите, чтобы страх стал нормой? В каждом шорохе слышится угроза. Поэтому границы должны быть полностью закрыты.	Неужели вы хотите, чтобы страх стал нормой?[SEP]Поэтому границы должны быть полностью закрыты
fallacy of relevance	— По данным полиции, количество ДТП с участием пешеходов выросло на 18%, особенно в тёмное время суток. Необходимо улучшить освещение и установить дополнительные переходы. — Разве можно обсуждать переходы, когда в школах не хватает учителей математики и физики? Дети недополучают образование, падает уровень подготовки. Сначала решите проблему с преподавателями, а потом уже занимайтесь дорогами.	Разве можно обсуждать переходы, когда в школах не хватает учителей математики и физики[SEP]Сначала решите проблему с преподавателями, а потом уже занимайтесь дорогами
false dilemma	В медицине обсуждается вакцинация. Либо все обязаны вакцинироваться без исключений, чтобы остановить распространение болезни. Врачи предупреждают о рисках эпидемий. либо система здравоохранения не справится и начнётся катастрофа. При этом не рассматриваются индивидуальные подходы и дополнительные меры профилактики.	Либо все обязаны вакцинироваться без исключений,[SEP]либо система здравоохранения не справится и начнётся катастрофа.
fallacy of credibility	— Исследования показывают, что переработка отходов снижает нагрузку на окружающую среду. — Переработка не нужна, потому что раньше люди просто выбрасывали мусор и жили нормально, так делали десятилетиями. Это считалось естественным способом обращения с отходами. Раз этот подход использовался долгое время, значит он остаётся правильным и сейчас. Новые методы воспринимаются как излишние.	Переработка не нужна, потому что раньше люди просто выбрасывали мусор и жили нормально[SEP]Раз этот подход использовался долгое время, значит он остаётся правильным и сейчас
ad populum	В разговоре о школьной форме родитель заявил: 90% семей в нашем районе одобряют обязательную форму, значит это педагогически правильное решение. Детали влияния на учеников обсуждать не стали.	90% семей в нашем районе одобряют обязательную форму, значит это педагогически правильное решение
faulty generalization	На лекции один студент задал странный вопрос, не по теме. Преподаватель удивился. Один студент задаёт нелепые вопросы — значит, все студенты этой группы не понимают материал. Это создаёт определённое впечатление о курсе.	Один студент задаёт нелепые вопросы — значит, все студенты этой группы не понимают материал
faulty generalization	Один блогер допустил фактическую ошибку — значит, все блогеры распространяют недостоверную информацию. После этого я стал скептичнее относиться к подобным каналам.	Один блогер допустил фактическую ошибку — значит, все блогеры распространяют недостоверную информацию
equivocation	Я считаю, что охота — это сильное желание. Когда есть охота что-то сделать, человек действует активно и достигает целей. В природе охота требует навыков и терпения. Охота направляет действия и приводит к результату, будь то желание или процесс добычи. Если есть охота, значит результат неизбежен. Следовательно, любое желание обязательно реализуется. Поэтому если мне что-то хочется, это точно произойдёт.	Охота направляет действия и приводит к результату, будь то желание или процесс добычи. Если есть охота, значит результат неизбежен. Следовательно, любое желание обязательно реализуется.
fallacy of credibility	"На совещании по экологической политике один участник резко возразил: ""Он говорит, что новые фильтры сократят выбросы на 40%. Но он никогда не проявлял поддержку в сторону экологической повестки — его знания об экологии и влиянии человека на природу как у маленького ребёнка. Он путает базовые понятия, не разбирается в механизмах загрязнения и рассуждает о климате так, будто это тема для светской беседы, а не научная проблема. Даже если цифры выглядят правдоподобно, доверять ему бессмысленно: за каждым его заявлением — легкомыслие и полное пренебрежение научными фактами!"""	его знания об экологии[SEP]как у[SEP]ребёнка[SEP]доверять ему бессмысленно
ad hominem	— Предлагаю увеличить финансирование общественного транспорта. — Ты просто испытываешь личную неприязнь к автомобилистам, поэтому твои аргументы о пользе транспорта предвзяты и неубедительны. Бюджет ограничен.	Ты просто испытываешь личную неприязнь к автомобилистам, поэтому твои аргументы о пользе транспорта предвзяты и неубедительны
fallacy of extension	— Я думаю, что родителям стоит ограничивать доступ детей к социальным сетям в ночное время. Это помогает улучшить сон и снизить зависимость от постоянного скроллинга. Речь не о запрете, а о разумных границах. — То есть вы хотите полностью запретить детям пользоваться интернетом и изолировать их от современного мира? Значит, по вашему, они не должны общаться с друзьями онлайн, учиться через цифровые платформы и вообще понимать, как устроена современная коммуникация? Вы предлагаете вырастить поколение, которое будет отставать от всех остальных, потому что его держали в информационной изоляции!	родителям стоит ограничивать доступ детей к социальным сетям в ночное время[SEP]То есть вы хотите полностью запретить детям пользоваться интернетом и изолировать их от современного мира
appeal to emotion	На обсуждении запрета абортов один активист рассказывал о ценности жизни. Он описывал образ будущего ребёнка, которого никто не увидит. Неужели вы способны лишить его шанса родиться? Поэтому аборты должны быть запрещены.	Неужели вы способны лишить его шанса родиться? Поэтому аборты должны быть запрещены.
ad hominem	На лекции по этике он говорил о важности честности в бизнесе. Однако он сам ранее участвовал в сомнительных сделках, поэтому его аргументы о моральных принципах не заслуживают доверия. Это подрывает его позицию.	он сам ранее участвовал в сомнительных сделках, поэтому его аргументы о моральных принципах не заслуживают доверия
fallacy of relevance	— Анализ показал, что внедрение новых систем видеонаблюдения в школах не снижает уровень буллинга: по данным исследования, в 65% случаев агрессия просто перемещается в зоны без камер. Возможно, стоит инвестировать в психологическую поддержку и обучение педагогов. — Зачем обсуждать камеры и буллинг, когда у учителей и так перегрузка и низкие зарплаты? Педагоги работают по 10 часов в день, заполняют отчёты и получают меньше среднего по региону. Пока мы не решим их социальное положение, никакие программы против буллинга не будут работать. Сначала достойная оплата труда, а потом уже разговоры о школьной атмосфере.	Зачем обсуждать камеры и буллинг, когда у учителей и так перегрузка и низкие зарплаты
