label	text	rationale
false causality	A new co-working space was opened at the university, and a year later the number of startups among students increased. This is being actively discussed. Since the growth of startups followed the appearance of co-working space, it means that it was the reason for the entrepreneurial activity of students. Such spaces need to be created everywhere.	Since the growth of startups followed the appearance of co-working space, it means that it was the reason for the entrepreneurial activity of students.
fallacy of extension	- I propose to revise the monument to the colonizer Ivan Petrov in the center of the city. It has stood there since 1905, but today we know that he was involved in suppressing indigenous uprisings and confiscating their lands. Maybe we should move the monument to an open-air historical museum where the full context of his activities - both achievements and dark sides - can be shown? And in its place, a memorial dedicated to the culture of the indigenous peoples of the region. - Wait! So you want to completely destroy our history and culture, erase the memory of our ancestors! You want to tear down all the monuments, rename all the streets, forbid the study of history before the 20th century! You want our to children to know nothing about the past, to grow up without roots, without identity! Following your logic, you want to burn all archives, close museums, forbid celebrating historical dates! You want to turn our city into a cultural desert, where no one remembers where their ancestors came from! This is complete madness - to destroy history just because there are complicated pages in it!	we should move the monument to[SEP]museum[SEP]Wait! So you want to completely destroy our history and culture[SEP]to children to know nothing about the past
fallacy of extension	- In medicine, I am of the opinion that doctors should spend more time explaining diagnosis and treatment options to patients. This builds trust and helps people make informed decisions without drastically increasing the burden on the system. - I see, you want doctors to spend hours talking to each patient and stop treating people altogether? So the lines would become endless, and medical care would effectively stop! Doctors will be turned into psychologists instead of specialists, and no one will get real treatment in a timely manner. This will destroy the entire health care system!	doctors should spend more time explaining diagnosis and treatment options to patients[SEP]you want doctors to spend hours talking to each patient and stop treating people altogether
circular reasoning	The death penalty must exist because it is necessary to execute criminals sentenced to death. And criminals sentenced to death must be executed because the death penalty must exist. If the death penalty exists, then criminals must be executed - otherwise why would it even exist? And if criminals must be executed, then the death penalty must exist - otherwise how can they be executed?	The death penalty must exist because it is necessary to execute criminals sentenced to death. And criminals sentenced to death must be executed because the death penalty must exist
false causality	-- This year we introduced the electronic diary system in the school, and math achievement increased by 12%. But I think that this is due to the fact that teachers started to use interactive assignments more actively, not the diaries themselves.  -- And I see a clear pattern: since children started to go to the electronic diary every day and see their grades, they started to learn more. So the electronic diary is directly improving grades. Grades used to be worse without it, and now they're better, and that's not a coincidence.	since children started to go to the electronic diary every day and see their grades, they started to learn more. So the electronic diary is directly improving grades. Grades used to be worse without it, and now they're better, and that's not a coincidence.
appeal to emotion	At a discussion on digital security, they talked about data collection. One expert said: criminals are already using technology against us. Do you really want to be defenseless against them? Every day brings new threats. That's why the government should have access to all personal data.	Do you really want to be defenseless against them?[SEP]That's why the government should have access to all personal data.
fallacy of extension	- I believe that young children should be gradually introduced to social media access under parental supervision to reduce the risks of addiction and bullying. - So you want to completely isolate children from the internet and technology forever? Let them grow up in a complete information blockade? You propose to deprive them of communication, knowledge, and modern skills? Then they simply won't be able to live in the digital world!	young children should be gradually introduced to social media access under parental supervision[SEP]So you want to completely isolate children from the internet and technology forever
false causality	After the installation of new streetlights in the yard, children started to play outside for longer. Parents note that now the yard is lively even in the evening. Since the lights appeared before the increased play time, it means that it was the lights that made the children more active. This is considered a good example of beautification.	Since the lights appeared before the increased play time, it means that it was the lights that made the children more active.
circular reasoning	In a discussion about a scientific theory, one participant stated: The theory is valid because it is confirmed by observations, and the observations themselves are interpreted as confirmation because the theory is valid. The discussion then turned to the details of the experiment.	The theory is valid because it is confirmed by observations, and the observations themselves are interpreted as confirmation because the theory is valid
false dilemma	In budget policy we have only two ways. The economy is going through a difficult period, revenues are declining and the state's obligations are growing. At the same time, health care, education and infrastructure must be financed, otherwise the quality of life will start to deteriorate. Either we raise taxes sharply, even if this causes dissatisfaction of business and population. In this case, the budget is quickly filled, but economic activity may slow down. Or we completely abandon social spending and leave people without support. This will lead to cuts in aid programs and increased inequality. In such conditions, we cannot count on gradual changes or flexible solutions, because the situation requires tough choices now.	In budget policy we have only two ways[SEP]Either we raise taxes sharply[SEP]Or we completely abandon social spending and leave people without support
